slide_id,scale,h5_path,h5_exists,h5_read_success,h5_error,coords_exists,coords_count,coords_shape,coords_dtype,patch_level,patch_size,h5_downsample_x,h5_downsample_y,h5_level_dim,h5_downsampled_level_dim,h5_name,h5_save_path,required_metadata_complete
2460591-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460591-B2.h5,True,True,,True,253,"[253,2]",int32,2,256,16.000258910848366,16.002004738472753,"[11587,5487]","[11587,5487]",2460591-B2,patches_coords_5x\patches_256,True
2460591-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460591-B2.h5,True,True,,True,3248,"[3248,2]",int32,1,256,4.0000647277120915,4.000136674259681,"[46348,21950]","[46348,21950]",2460591-B2,patches_coords_20x\patches_256,True
2460602-B,5x,data/yiyuan/patches_coords_5x/patches_256/2460602-B.h5,True,True,,True,252,"[252,2]",int32,2,256,16.000929848124805,16.002780536246277,"[9679,5035]","[9679,5035]",2460602-B,patches_coords_5x\patches_256,True
2460602-B,20x,data/yiyuan/patches_coords_20x/patches_256/2460602-B.h5,True,True,,True,3707,"[3707,2]",int32,1,256,4.000025827780361,4.000099290075957,"[38718,20143]","[38718,20143]",2460602-B,patches_coords_20x\patches_256,True
2460628-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460628-B2.h5,True,True,,True,190,"[190,2]",int32,2,256,16.000427670266223,16.002063131834124,"[9353,4847]","[9353,4847]",2460628-B2,patches_coords_5x\patches_256,True
2460628-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460628-B2.h5,True,True,,True,2668,"[2668,2]",int32,1,256,4.0,4.000103145951521,"[37413,19390]","[37413,19390]",2460628-B2,patches_coords_20x\patches_256,True
2460641-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460641-B2.h5,True,True,,True,242,"[242,2]",int32,2,256,16.001405101599655,16.002004738472753,"[9252,5487]","[9252,5487]",2460641-B2,patches_coords_5x\patches_256,True
2460641-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460641-B2.h5,True,True,,True,3511,"[3511,2]",int32,1,256,4.000027018994353,4.000136674259681,"[37011,21950]","[37011,21950]",2460641-B2,patches_coords_20x\patches_256,True
2460643-B,5x,data/yiyuan/patches_coords_5x/patches_256/2460643-B.h5,True,True,,True,182,"[182,2]",int32,2,256,16.000387897595036,16.002780536246277,"[7734,5035]","[7734,5035]",2460643-B,patches_coords_5x\patches_256,True
2460643-B,20x,data/yiyuan/patches_coords_20x/patches_256/2460643-B.h5,True,True,,True,2656,"[2656,2]",int32,1,256,4.000096974398759,4.000099290075957,"[30936,20143]","[30936,20143]",2460643-B,patches_coords_20x\patches_256,True
2460753-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460753-B2.h5,True,True,,True,201,"[201,2]",int32,2,256,16.001783378908573,16.0,"[8411,5312]","[8411,5312]",2460753-B2,patches_coords_5x\patches_256,True
2460753-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460753-B2.h5,True,True,,True,2859,"[2859,2]",int32,1,256,4.000089160995037,4.0,"[33647,21248]","[33647,21248]",2460753-B2,patches_coords_20x\patches_256,True
2460770-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460770-B2.h5,True,True,,True,181,"[181,2]",int32,2,256,16.00105786522797,16.002004738472753,"[9453,5487]","[9453,5487]",2460770-B2,patches_coords_5x\patches_256,True
2460770-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460770-B2.h5,True,True,,True,2521,"[2521,2]",int32,1,256,4.0000528904638495,4.000136674259681,"[37814,21950]","[37814,21950]",2460770-B2,patches_coords_20x\patches_256,True
2460949-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2460949-B3.h5,True,True,,True,200,"[200,2]",int32,2,256,16.00119961612284,16.002004738472753,"[8336,5487]","[8336,5487]",2460949-B3,patches_coords_5x\patches_256,True
2460949-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2460949-B3.h5,True,True,,True,2813,"[2813,2]",int32,1,256,4.000059977208661,4.000136674259681,"[33346,21950]","[33346,21950]",2460949-B3,patches_coords_20x\patches_256,True
2460960-B,5x,data/yiyuan/patches_coords_5x/patches_256/2460960-B.h5,True,True,,True,343,"[343,2]",int32,2,256,16.00130053105018,16.002004738472753,"[9227,5487]","[9227,5487]",2460960-B,patches_coords_5x\patches_256,True
2460960-B,20x,data/yiyuan/patches_coords_20x/patches_256/2460960-B.h5,True,True,,True,4901,"[4901,2]",int32,1,256,4.0,4.000136674259681,"[36911,21950]","[36911,21950]",2460960-B,patches_coords_20x\patches_256,True
2460974-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460974-B2.h5,True,True,,True,234,"[234,2]",int32,2,256,16.0,16.002780536246277,"[8801,5035]","[8801,5035]",2460974-B2,patches_coords_5x\patches_256,True
2460974-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460974-B2.h5,True,True,,True,3353,"[3353,2]",int32,1,256,4.0,4.000099290075957,"[35204,20143]","[35204,20143]",2460974-B2,patches_coords_20x\patches_256,True
2461002-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461002-B2.h5,True,True,,True,135,"[135,2]",int32,2,256,16.000387897595036,16.001902173913045,"[7734,3680]","[7734,3680]",2461002-B2,patches_coords_5x\patches_256,True
2461002-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461002-B2.h5,True,True,,True,1733,"[1733,2]",int32,1,256,4.000096974398759,4.000203790503362,"[30936,14721]","[30936,14721]",2461002-B2,patches_coords_20x\patches_256,True
2461487-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461487-B2.h5,True,True,,True,232,"[232,2]",int32,2,256,16.000368358044017,16.0,"[10859,3329]","[10859,3329]",2461487-B2,patches_coords_5x\patches_256,True
2461487-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461487-B2.h5,True,True,,True,3195,"[3195,2]",int32,1,256,4.0,4.0,"[43437,13316]","[43437,13316]",2461487-B2,patches_coords_20x\patches_256,True
2461671-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461671-B2.h5,True,True,,True,328,"[328,2]",int32,2,256,16.000786428491182,16.001727115716754,"[8901,5211]","[8901,5211]",2461671-B2,patches_coords_5x\patches_256,True
2461671-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461671-B2.h5,True,True,,True,4887,"[4887,2]",int32,1,256,4.000084257828957,4.000047970833733,"[35605,20846]","[35605,20846]",2461671-B2,patches_coords_20x\patches_256,True
2461672-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461672-B2.h5,True,True,,True,212,"[212,2]",int32,2,256,16.0011448196909,16.001319841619004,"[10482,4546]","[10482,4546]",2461672-B2,patches_coords_5x\patches_256,True
2461672-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461672-B2.h5,True,True,,True,2880,"[2880,2]",int32,1,256,4.0,4.000109980753368,"[41931,18185]","[41931,18185]",2461672-B2,patches_coords_20x\patches_256,True
2461677-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461677-B2.h5,True,True,,True,60,"[60,2]",int32,2,256,16.000871744578838,16.00299550673989,"[9177,4006]","[9177,4006]",2461677-B2,patches_coords_5x\patches_256,True
2461677-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461677-B2.h5,True,True,,True,812,"[812,2]",int32,1,256,4.0,4.0,"[36710,16027]","[36710,16027]",2461677-B2,patches_coords_20x\patches_256,True
2461698-B,5x,data/yiyuan/patches_coords_5x/patches_256/2461698-B.h5,True,True,,True,239,"[239,2]",int32,2,256,16.000916777019455,16.000382848392036,"[9817,5224]","[9817,5224]",2461698-B,patches_coords_5x\patches_256,True
2461698-B,20x,data/yiyuan/patches_coords_20x/patches_256/2461698-B.h5,True,True,,True,3447,"[3447,2]",int32,1,256,4.000025464731347,4.000095712098009,"[39270,20896]","[39270,20896]",2461698-B,patches_coords_20x\patches_256,True
2461700-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461700-B2.h5,True,True,,True,74,"[74,2]",int32,2,256,16.001604668125456,16.003683763105695,"[6855,3529]","[6855,3529]",2461700-B2,patches_coords_5x\patches_256,True
2461700-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461700-B2.h5,True,True,,True,996,"[996,2]",int32,1,256,4.000109401210707,4.000070826545789,"[27422,14119]","[27422,14119]",2461700-B2,patches_coords_20x\patches_256,True
2461703-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2461703-B3.h5,True,True,,True,253,"[253,2]",int32,2,256,16.000940832113738,16.002004738472753,"[9566,5487]","[9566,5487]",2461703-B3,patches_coords_5x\patches_256,True
2461703-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2461703-B3.h5,True,True,,True,3694,"[3694,2]",int32,1,256,4.000026132859458,4.000136674259681,"[38266,21950]","[38266,21950]",2461703-B3,patches_coords_20x\patches_256,True
2461718-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2461718-B3.h5,True,True,,True,82,"[82,2]",int32,2,256,16.000251256281405,16.002280935183425,"[7960,5261]","[7960,5261]",2461718-B3,patches_coords_5x\patches_256,True
2461718-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2461718-B3.h5,True,True,,True,1067,"[1067,2]",int32,1,256,4.000062814070351,4.0,"[31840,21047]","[31840,21047]",2461718-B3,patches_coords_20x\patches_256,True
2461755-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2461755-B3.h5,True,True,,True,247,"[247,2]",int32,2,256,16.000993245927692,16.002004738472753,"[10068,5487]","[10068,5487]",2461755-B3,patches_coords_5x\patches_256,True
2461755-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2461755-B3.h5,True,True,,True,3325,"[3325,2]",int32,1,256,4.000049659830164,4.000136674259681,"[40274,21950]","[40274,21950]",2461755-B3,patches_coords_20x\patches_256,True
2461836-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461836-B2.h5,True,True,,True,144,"[144,2]",int32,2,256,16.00127648710748,16.000447327219863,"[7834,4471]","[7834,4471]",2461836-B2,patches_coords_5x\patches_256,True
2461836-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461836-B2.h5,True,True,,True,1998,"[1998,2]",int32,1,256,4.000063820282086,4.000111831804966,"[31338,17884]","[31338,17884]",2461836-B2,patches_coords_20x\patches_256,True
2461857-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461857-B2.h5,True,True,,True,159,"[159,2]",int32,2,256,16.000579710144926,16.002004738472753,"[8625,5487]","[8625,5487]",2461857-B2,patches_coords_5x\patches_256,True
2461857-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461857-B2.h5,True,True,,True,2091,"[2091,2]",int32,1,256,4.000028984667111,4.000136674259681,"[34501,21950]","[34501,21950]",2461857-B2,patches_coords_20x\patches_256,True
2461861-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461861-B2.h5,True,True,,True,62,"[62,2]",int32,2,256,16.00058696928194,16.00250556792873,"[5111,3592]","[5111,3592]",2461861-B2,patches_coords_5x\patches_256,True
2461861-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461861-B2.h5,True,True,,True,890,"[890,2]",int32,1,256,4.000146742320485,4.000069589422408,"[20444,14370]","[20444,14370]",2461861-B2,patches_coords_20x\patches_256,True
2462123-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462123-B2.h5,True,True,,True,122,"[122,2]",int32,2,256,16.002027516292543,16.003137065637066,"[6905,4144]","[6905,4144]",2462123-B2,patches_coords_5x\patches_256,True
2462123-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462123-B2.h5,True,True,,True,1715,"[1715,2]",int32,1,256,4.000072403431923,4.000060317268834,"[27623,16579]","[27623,16579]",2462123-B2,patches_coords_20x\patches_256,True
2462170-B4,5x,data/yiyuan/patches_coords_5x/patches_256/2462170-B4.h5,True,True,,True,117,"[117,2]",int32,2,256,16.001082902177835,16.002957906712172,"[8311,4395]","[8311,4395]",2462170-B4,patches_coords_5x\patches_256,True
2462170-B4,20x,data/yiyuan/patches_coords_20x/patches_256/2462170-B4.h5,True,True,,True,1562,"[1562,2]",int32,1,256,4.000030078806473,4.000056873116078,"[33246,17583]","[33246,17583]",2462170-B4,patches_coords_20x\patches_256,True
2462290-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462290-B2.h5,True,True,,True,286,"[286,2]",int32,2,256,16.001783378908573,16.002926421404684,"[8411,4784]","[8411,4784]",2462290-B2,patches_coords_5x\patches_256,True
2462290-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462290-B2.h5,True,True,,True,4236,"[4236,2]",int32,1,256,4.000089160995037,4.000104498667642,"[33647,19139]","[33647,19139]",2462290-B2,patches_coords_20x\patches_256,True
2462293-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2462293-B3.h5,True,True,,True,127,"[127,2]",int32,2,256,16.00016121231662,16.001162565394303,"[6203,5161]","[6203,5161]",2462293-B3,patches_coords_5x\patches_256,True
2462293-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2462293-B3.h5,True,True,,True,1781,"[1781,2]",int32,1,256,4.000040303079155,4.000096875756842,"[24812,20645]","[24812,20645]",2462293-B3,patches_coords_20x\patches_256,True
2462478-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462478-B2.h5,True,True,,True,152,"[152,2]",int32,2,256,16.000816993464053,16.0,"[9792,4948]","[9792,4948]",2462478-B2,patches_coords_5x\patches_256,True
2462478-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462478-B2.h5,True,True,,True,2029,"[2029,2]",int32,1,256,4.0,4.0,"[39170,19792]","[39170,19792]",2462478-B2,patches_coords_20x\patches_256,True
2462483-B,5x,data/yiyuan/patches_coords_5x/patches_256/2462483-B.h5,True,True,,True,85,"[85,2]",int32,2,256,16.001097828738718,16.000617283950618,"[8198,4860]","[8198,4860]",2462483-B,patches_coords_5x\patches_256,True
2462483-B,20x,data/yiyuan/patches_coords_20x/patches_256/2462483-B.h5,True,True,,True,1108,"[1108,2]",int32,1,256,4.000030493382936,4.000154320987654,"[32794,19440]","[32794,19440]",2462483-B,patches_coords_20x\patches_256,True
2462598-B,5x,data/yiyuan/patches_coords_5x/patches_256/2462598-B.h5,True,True,,True,195,"[195,2]",int32,2,256,16.0,16.002004738472753,"[8550,5487]","[8550,5487]",2462598-B,patches_coords_5x\patches_256,True
2462598-B,20x,data/yiyuan/patches_coords_20x/patches_256/2462598-B.h5,True,True,,True,2744,"[2744,2]",int32,1,256,4.0,4.000136674259681,"[34200,21950]","[34200,21950]",2462598-B,patches_coords_20x\patches_256,True
2462614-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2462614-B3.h5,True,True,,True,225,"[225,2]",int32,2,256,16.000949667616336,16.002780536246277,"[8424,5035]","[8424,5035]",2462614-B3,patches_coords_5x\patches_256,True
2462614-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2462614-B3.h5,True,True,,True,3283,"[3283,2]",int32,1,256,4.0,4.000099290075957,"[33698,20143]","[33698,20143]",2462614-B3,patches_coords_20x\patches_256,True
2462637-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462637-B2.h5,True,True,,True,277,"[277,2]",int32,2,256,16.00111719360965,16.002100840336134,"[8951,5236]","[8951,5236]",2462637-B2,patches_coords_5x\patches_256,True
2462637-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462637-B2.h5,True,True,,True,3864,"[3864,2]",int32,1,256,4.000055856560353,4.000143225436838,"[35806,20946]","[35806,20946]",2462637-B2,patches_coords_20x\patches_256,True
2462830-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462830-B2.h5,True,True,,True,103,"[103,2]",int32,2,256,16.001063418406805,16.002004738472753,"[10344,5487]","[10344,5487]",2462830-B2,patches_coords_5x\patches_256,True
2462830-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462830-B2.h5,True,True,,True,1417,"[1417,2]",int32,1,256,4.000072502295906,4.000136674259681,"[41378,21950]","[41378,21950]",2462830-B2,patches_coords_20x\patches_256,True
2462830-B4,5x,data/yiyuan/patches_coords_5x/patches_256/2462830-B4.h5,True,True,,True,210,"[210,2]",int32,2,256,16.0003488372093,16.00154261473197,"[8600,5186]","[8600,5186]",2462830-B4,patches_coords_5x\patches_256,True
2462830-B4,20x,data/yiyuan/patches_coords_20x/patches_256/2462830-B4.h5,True,True,,True,3080,"[3080,2]",int32,1,256,4.000087209302325,4.0,"[34400,20746]","[34400,20746]",2462830-B4,patches_coords_20x\patches_256,True
2462840-B5,5x,data/yiyuan/patches_coords_5x/patches_256/2462840-B5.h5,True,True,,True,286,"[286,2]",int32,2,256,16.000198393016564,16.002280935183425,"[10081,5261]","[10081,5261]",2462840-B5,patches_coords_5x\patches_256,True
2462840-B5,20x,data/yiyuan/patches_coords_20x/patches_256/2462840-B5.h5,True,True,,True,4219,"[4219,2]",int32,1,256,4.000049598254141,4.0,"[40324,21047]","[40324,21047]",2462840-B5,patches_coords_20x\patches_256,True
2462885-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462885-B2.h5,True,True,,True,272,"[272,2]",int32,2,256,16.00068924773533,16.002004738472753,"[10156,5487]","[10156,5487]",2462885-B2,patches_coords_5x\patches_256,True
2462885-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462885-B2.h5,True,True,,True,3661,"[3661,2]",int32,1,256,4.000073846153846,4.000136674259681,"[40625,21950]","[40625,21950]",2462885-B2,patches_coords_20x\patches_256,True
2462920-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2462920-B3.h5,True,True,,True,273,"[273,2]",int32,2,256,16.00048567265663,16.001459245361684,"[8236,4797]","[8236,4797]",2462920-B3,patches_coords_5x\patches_256,True
2462920-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2462920-B3.h5,True,True,,True,3827,"[3827,2]",int32,1,256,4.0,4.000156339569545,"[32945,19189]","[32945,19189]",2462920-B3,patches_coords_20x\patches_256,True
2462921-B,5x,data/yiyuan/patches_coords_5x/patches_256/2462921-B.h5,True,True,,True,311,"[311,2]",int32,2,256,16.000819960173363,16.001162565394303,"[8537,5161]","[8537,5161]",2462921-B,patches_coords_5x\patches_256,True
2462921-B,20x,data/yiyuan/patches_coords_20x/patches_256/2462921-B.h5,True,True,,True,4466,"[4466,2]",int32,1,256,4.000087850303084,4.000096875756842,"[34149,20645]","[34149,20645]",2462921-B,patches_coords_20x\patches_256,True
2462987-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462987-B2.h5,True,True,,True,139,"[139,2]",int32,2,256,16.0,16.00066725978648,"[10420,4496]","[10420,4496]",2462987-B2,patches_coords_5x\patches_256,True
2462987-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462987-B2.h5,True,True,,True,2010,"[2010,2]",int32,1,256,4.0,4.00016681494662,"[41680,17984]","[41680,17984]",2462987-B2,patches_coords_20x\patches_256,True
2463126-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463126-B2.h5,True,True,,True,144,"[144,2]",int32,2,256,16.000429737859907,16.00316742081448,"[6981,4420]","[6981,4420]",2463126-B2,patches_coords_5x\patches_256,True
2463126-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463126-B2.h5,True,True,,True,2101,"[2101,2]",int32,1,256,4.000107434464977,4.000113102980263,"[27924,17683]","[27924,17683]",2463126-B2,patches_coords_20x\patches_256,True
2463127-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2463127-B3.h5,True,True,,True,261,"[261,2]",int32,2,256,16.000561876668073,16.002004738472753,"[7119,5487]","[7119,5487]",2463127-B3,patches_coords_5x\patches_256,True
2463127-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2463127-B3.h5,True,True,,True,3791,"[3791,2]",int32,1,256,4.0,4.000136674259681,"[28477,21950]","[28477,21950]",2463127-B3,patches_coords_20x\patches_256,True
2463135-B,5x,data/yiyuan/patches_coords_5x/patches_256/2463135-B.h5,True,True,,True,307,"[307,2]",int32,2,256,16.00039494470774,16.002004738472753,"[7596,5487]","[7596,5487]",2463135-B,patches_coords_5x\patches_256,True
2463135-B,20x,data/yiyuan/patches_coords_20x/patches_256/2463135-B.h5,True,True,,True,4547,"[4547,2]",int32,1,256,4.000098736176935,4.000136674259681,"[30384,21950]","[30384,21950]",2463135-B,patches_coords_20x\patches_256,True
2463187-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463187-B2.h5,True,True,,True,110,"[110,2]",int32,2,256,16.00210399759543,16.00329489291598,"[6654,3642]","[6654,3642]",2463187-B2,patches_coords_5x\patches_256,True
2463187-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463187-B2.h5,True,True,,True,1511,"[1511,2]",int32,1,256,4.000075134302566,4.0,"[26619,14571]","[26619,14571]",2463187-B2,patches_coords_20x\patches_256,True
2463351-B4,5x,data/yiyuan/patches_coords_5x/patches_256/2463351-B4.h5,True,True,,True,175,"[175,2]",int32,2,256,16.00159803318992,16.002004738472753,"[8135,5487]","[8135,5487]",2463351-B4,patches_coords_5x\patches_256,True
2463351-B4,20x,data/yiyuan/patches_coords_20x/patches_256/2463351-B4.h5,True,True,,True,2436,"[2436,2]",int32,1,256,4.000030728574502,4.000136674259681,"[32543,21950]","[32543,21950]",2463351-B4,patches_coords_20x\patches_256,True
2463370-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463370-B2.h5,True,True,,True,192,"[192,2]",int32,2,256,16.001479654747225,16.001170960187352,"[8110,4270]","[8110,4270]",2463370-B2,patches_coords_5x\patches_256,True
2463370-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463370-B2.h5,True,True,,True,2726,"[2726,2]",int32,1,256,4.0,4.000058544581699,"[32443,17081]","[32443,17081]",2463370-B2,patches_coords_20x\patches_256,True
2463379-B4,5x,data/yiyuan/patches_coords_5x/patches_256/2463379-B4.h5,True,True,,True,153,"[153,2]",int32,2,256,16.00186170212766,16.002139291656764,"[7520,4207]","[7520,4207]",2463379-B4,patches_coords_5x\patches_256,True
2463379-B4,20x,data/yiyuan/patches_coords_20x/patches_256/2463379-B4.h5,True,True,,True,2079,"[2079,2]",int32,1,256,4.0000664827311105,4.000059417706477,"[30083,16830]","[30083,16830]",2463379-B4,patches_coords_20x\patches_256,True
2463404-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463404-B2.h5,True,True,,True,217,"[217,2]",int32,2,256,16.001281366791243,16.002899671370578,"[9365,5173]","[9365,5173]",2463404-B2,patches_coords_5x\patches_256,True
2463404-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463404-B2.h5,True,True,,True,2935,"[2935,2]",int32,1,256,4.0,4.0001449625513406,"[37463,20695]","[37463,20695]",2463404-B2,patches_coords_20x\patches_256,True
2463643-B,5x,data/yiyuan/patches_coords_5x/patches_256/2463643-B.h5,True,True,,True,241,"[241,2]",int32,2,256,16.000906344410875,16.001494449188726,"[9930,4684]","[9930,4684]",2463643-B,patches_coords_5x\patches_256,True
2463643-B,20x,data/yiyuan/patches_coords_20x/patches_256/2463643-B.h5,True,True,,True,3440,"[3440,2]",int32,1,256,4.000025174966014,4.000160111010301,"[39722,18737]","[39722,18737]",2463643-B,patches_coords_20x\patches_256,True
2463647-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463647-B2.h5,True,True,,True,204,"[204,2]",int32,2,256,16.00144584647739,16.001170960187352,"[7608,4270]","[7608,4270]",2463647-B2,patches_coords_5x\patches_256,True
2463647-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463647-B2.h5,True,True,,True,2934,"[2934,2]",int32,1,256,4.000098573963331,4.000058544581699,"[30434,17081]","[30434,17081]",2463647-B2,patches_coords_20x\patches_256,True
2463656-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463656-B2.h5,True,True,,True,157,"[157,2]",int32,2,256,16.00026816840976,16.00308846238694,"[7458,4533]","[7458,4533]",2463656-B2,patches_coords_5x\patches_256,True
2463656-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463656-B2.h5,True,True,,True,2076,"[2076,2]",int32,1,256,4.00006704210244,4.000110283981252,"[29832,18135]","[29832,18135]",2463656-B2,patches_coords_20x\patches_256,True
2463720-B7,5x,data/yiyuan/patches_coords_5x/patches_256/2463720-B7.h5,True,True,,True,207,"[207,2]",int32,2,256,16.0,16.0004235493435,"[9416,4722]","[9416,4722]",2463720-B7,patches_coords_5x\patches_256,True
2463720-B7,20x,data/yiyuan/patches_coords_20x/patches_256/2463720-B7.h5,True,True,,True,3024,"[3024,2]",int32,1,256,4.0,4.000105887335875,"[37664,18888]","[37664,18888]",2463720-B7,patches_coords_20x\patches_256,True
2464404-B5,5x,data/yiyuan/patches_coords_5x/patches_256/2464404-B5.h5,True,True,,True,207,"[207,2]",int32,2,256,16.00048567265663,16.001851851851853,"[8236,4320]","[8236,4320]",2464404-B5,patches_coords_5x\patches_256,True
2464404-B5,20x,data/yiyuan/patches_coords_20x/patches_256/2464404-B5.h5,True,True,,True,2935,"[2935,2]",int32,1,256,4.0,4.0,"[32945,17282]","[32945,17282]",2464404-B5,patches_coords_20x\patches_256,True
