slide_id,scale,coord_h5_path,feature_h5_path,coord_h5_read_success,feature_h5_read_success,read_error,coord_coords_exists,feature_coords_exists,features_exists,coord_count,feature_coord_count,feature_count,coord_only_coordinate_count,feature_only_coordinate_count,coord_shape,feature_coord_shape,feature_shape,coord_dtype,feature_coord_dtype,feature_dtype,all_three_counts_equal,coord_shapes_equal,coordinate_values_and_order_equal,coordinate_multiset_equal,coordinate_set_equal,same_coordinates_different_order,row_mismatch_count,first_mismatch_index,alignment_ok
2460643-B,20x,data/yiyuan/patches_coords_20x/patches_256/2460643-B.h5,data/yiyuan/features_biomedclip_20x/2460643-B.h5,True,True,,True,True,True,2656,2656,2656,0,0,"[2656,2]","[2656,2]","[2656,512]",int32,int64,float32,True,True,False,True,True,True,2655,0,False
2460753-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460753-B2.h5,data/yiyuan/features_biomedclip_5x/2460753-B2.h5,True,True,,True,True,True,201,201,201,0,0,"[201,2]","[201,2]","[201,512]",int32,int64,float32,True,True,False,True,True,True,201,0,False
2460753-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460753-B2.h5,data/yiyuan/features_biomedclip_20x/2460753-B2.h5,True,True,,True,True,True,2859,2859,2859,0,0,"[2859,2]","[2859,2]","[2859,512]",int32,int64,float32,True,True,False,True,True,True,2859,0,False
2460770-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460770-B2.h5,data/yiyuan/features_biomedclip_5x/2460770-B2.h5,True,True,,True,True,True,181,181,181,0,0,"[181,2]","[181,2]","[181,512]",int32,int64,float32,True,True,False,True,True,True,181,0,False
2460770-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460770-B2.h5,data/yiyuan/features_biomedclip_20x/2460770-B2.h5,True,True,,True,True,True,2521,2521,2521,0,0,"[2521,2]","[2521,2]","[2521,512]",int32,int64,float32,True,True,False,True,True,True,2519,0,False
2460949-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2460949-B3.h5,data/yiyuan/features_biomedclip_5x/2460949-B3.h5,True,True,,True,True,True,200,200,200,0,0,"[200,2]","[200,2]","[200,512]",int32,int64,float32,True,True,False,True,True,True,200,0,False
2460949-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2460949-B3.h5,data/yiyuan/features_biomedclip_20x/2460949-B3.h5,True,True,,True,True,True,2813,2813,2813,0,0,"[2813,2]","[2813,2]","[2813,512]",int32,int64,float32,True,True,False,True,True,True,2813,0,False
2460960-B,5x,data/yiyuan/patches_coords_5x/patches_256/2460960-B.h5,data/yiyuan/features_biomedclip_5x/2460960-B.h5,True,True,,True,True,True,343,343,343,0,0,"[343,2]","[343,2]","[343,512]",int32,int64,float32,True,True,False,True,True,True,343,0,False
2460960-B,20x,data/yiyuan/patches_coords_20x/patches_256/2460960-B.h5,data/yiyuan/features_biomedclip_20x/2460960-B.h5,True,True,,True,True,True,4901,4901,4901,0,0,"[4901,2]","[4901,2]","[4901,512]",int32,int64,float32,True,True,False,True,True,True,4899,0,False
2460974-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460974-B2.h5,data/yiyuan/features_biomedclip_5x/2460974-B2.h5,True,True,,True,True,True,234,234,234,0,0,"[234,2]","[234,2]","[234,512]",int32,int64,float32,True,True,False,True,True,True,234,0,False
2460974-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460974-B2.h5,data/yiyuan/features_biomedclip_20x/2460974-B2.h5,True,True,,True,True,True,3353,3353,3353,0,0,"[3353,2]","[3353,2]","[3353,512]",int32,int64,float32,True,True,False,True,True,True,3353,0,False
2461002-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461002-B2.h5,data/yiyuan/features_biomedclip_5x/2461002-B2.h5,True,True,,True,True,True,135,135,135,0,0,"[135,2]","[135,2]","[135,512]",int32,int64,float32,True,True,False,True,True,True,135,0,False
2461002-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461002-B2.h5,data/yiyuan/features_biomedclip_20x/2461002-B2.h5,True,True,,True,True,True,1733,1733,1733,0,0,"[1733,2]","[1733,2]","[1733,512]",int32,int64,float32,True,True,False,True,True,True,1732,0,False
2461487-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461487-B2.h5,data/yiyuan/features_biomedclip_5x/2461487-B2.h5,True,True,,True,True,True,232,232,232,0,0,"[232,2]","[232,2]","[232,512]",int32,int64,float32,True,True,False,True,True,True,232,0,False
2461487-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461487-B2.h5,data/yiyuan/features_biomedclip_20x/2461487-B2.h5,True,True,,True,True,True,3195,3195,3195,0,0,"[3195,2]","[3195,2]","[3195,512]",int32,int64,float32,True,True,False,True,True,True,3193,0,False
2461671-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461671-B2.h5,data/yiyuan/features_biomedclip_5x/2461671-B2.h5,True,True,,True,True,True,328,328,328,0,0,"[328,2]","[328,2]","[328,512]",int32,int64,float32,True,True,False,True,True,True,328,0,False
2461671-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461671-B2.h5,data/yiyuan/features_biomedclip_20x/2461671-B2.h5,True,True,,True,True,True,4887,4887,4887,0,0,"[4887,2]","[4887,2]","[4887,512]",int32,int64,float32,True,True,False,True,True,True,4885,0,False
2461672-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461672-B2.h5,data/yiyuan/features_biomedclip_5x/2461672-B2.h5,True,True,,True,True,True,212,212,212,0,0,"[212,2]","[212,2]","[212,512]",int32,int64,float32,True,True,False,True,True,True,203,0,False
2461672-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461672-B2.h5,data/yiyuan/features_biomedclip_20x/2461672-B2.h5,True,True,,True,True,True,2880,2880,2880,0,0,"[2880,2]","[2880,2]","[2880,512]",int32,int64,float32,True,True,False,True,True,True,2880,0,False
2461677-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461677-B2.h5,data/yiyuan/features_biomedclip_5x/2461677-B2.h5,True,True,,True,True,True,60,60,60,0,0,"[60,2]","[60,2]","[60,512]",int32,int64,float32,True,True,False,True,True,True,56,0,False
2461677-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461677-B2.h5,data/yiyuan/features_biomedclip_20x/2461677-B2.h5,True,True,,True,True,True,812,812,812,0,0,"[812,2]","[812,2]","[812,512]",int32,int64,float32,True,True,False,True,True,True,811,0,False
2461698-B,5x,data/yiyuan/patches_coords_5x/patches_256/2461698-B.h5,data/yiyuan/features_biomedclip_5x/2461698-B.h5,True,True,,True,True,True,239,239,239,0,0,"[239,2]","[239,2]","[239,512]",int32,int64,float32,True,True,False,True,True,True,239,0,False
2461698-B,20x,data/yiyuan/patches_coords_20x/patches_256/2461698-B.h5,data/yiyuan/features_biomedclip_20x/2461698-B.h5,True,True,,True,True,True,3447,3447,3447,0,0,"[3447,2]","[3447,2]","[3447,512]",int32,int64,float32,True,True,False,True,True,True,3447,0,False
2461700-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461700-B2.h5,data/yiyuan/features_biomedclip_5x/2461700-B2.h5,True,True,,True,True,True,74,74,74,0,0,"[74,2]","[74,2]","[74,512]",int32,int64,float32,True,True,False,True,True,True,74,0,False
2461700-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461700-B2.h5,data/yiyuan/features_biomedclip_20x/2461700-B2.h5,True,True,,True,True,True,996,996,996,0,0,"[996,2]","[996,2]","[996,512]",int32,int64,float32,True,True,False,True,True,True,996,0,False
2461703-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2461703-B3.h5,data/yiyuan/features_biomedclip_5x/2461703-B3.h5,True,True,,True,True,True,253,253,253,0,0,"[253,2]","[253,2]","[253,512]",int32,int64,float32,True,True,False,True,True,True,253,0,False
2461703-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2461703-B3.h5,data/yiyuan/features_biomedclip_20x/2461703-B3.h5,True,True,,True,True,True,3694,3694,3694,0,0,"[3694,2]","[3694,2]","[3694,512]",int32,int64,float32,True,True,False,True,True,True,3694,0,False
2461718-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2461718-B3.h5,data/yiyuan/features_biomedclip_5x/2461718-B3.h5,True,True,,True,True,True,82,82,82,0,0,"[82,2]","[82,2]","[82,512]",int32,int64,float32,True,True,False,True,True,True,82,0,False
2461718-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2461718-B3.h5,data/yiyuan/features_biomedclip_20x/2461718-B3.h5,True,True,,True,True,True,1067,1067,1067,0,0,"[1067,2]","[1067,2]","[1067,512]",int32,int64,float32,True,True,False,True,True,True,1065,0,False
2461755-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2461755-B3.h5,data/yiyuan/features_biomedclip_5x/2461755-B3.h5,True,True,,True,True,True,247,247,247,0,0,"[247,2]","[247,2]","[247,512]",int32,int64,float32,True,True,False,True,True,True,247,0,False
2461755-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2461755-B3.h5,data/yiyuan/features_biomedclip_20x/2461755-B3.h5,True,True,,True,True,True,3325,3325,3325,0,0,"[3325,2]","[3325,2]","[3325,512]",int32,int64,float32,True,True,False,True,True,True,3325,0,False
2461836-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461836-B2.h5,data/yiyuan/features_biomedclip_5x/2461836-B2.h5,True,True,,True,True,True,144,144,144,0,0,"[144,2]","[144,2]","[144,512]",int32,int64,float32,True,True,False,True,True,True,144,0,False
2461836-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461836-B2.h5,data/yiyuan/features_biomedclip_20x/2461836-B2.h5,True,True,,True,True,True,1998,1998,1998,0,0,"[1998,2]","[1998,2]","[1998,512]",int32,int64,float32,True,True,False,True,True,True,1997,0,False
2461857-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461857-B2.h5,data/yiyuan/features_biomedclip_5x/2461857-B2.h5,True,True,,True,True,True,159,159,159,0,0,"[159,2]","[159,2]","[159,512]",int32,int64,float32,True,True,False,True,True,True,159,0,False
2461857-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461857-B2.h5,data/yiyuan/features_biomedclip_20x/2461857-B2.h5,True,True,,True,True,True,2091,2091,2091,0,0,"[2091,2]","[2091,2]","[2091,512]",int32,int64,float32,True,True,False,True,True,True,2091,0,False
2461861-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2461861-B2.h5,data/yiyuan/features_biomedclip_5x/2461861-B2.h5,True,True,,True,True,True,62,62,62,0,0,"[62,2]","[62,2]","[62,512]",int32,int64,float32,True,True,False,True,True,True,61,0,False
2461861-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2461861-B2.h5,data/yiyuan/features_biomedclip_20x/2461861-B2.h5,True,True,,True,True,True,890,890,890,0,0,"[890,2]","[890,2]","[890,512]",int32,int64,float32,True,True,False,True,True,True,890,0,False
2462123-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462123-B2.h5,data/yiyuan/features_biomedclip_5x/2462123-B2.h5,True,True,,True,True,True,122,122,122,0,0,"[122,2]","[122,2]","[122,512]",int32,int64,float32,True,True,False,True,True,True,115,0,False
2462123-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462123-B2.h5,data/yiyuan/features_biomedclip_20x/2462123-B2.h5,True,True,,True,True,True,1715,1715,1715,0,0,"[1715,2]","[1715,2]","[1715,512]",int32,int64,float32,True,True,False,True,True,True,1714,0,False
2462170-B4,5x,data/yiyuan/patches_coords_5x/patches_256/2462170-B4.h5,data/yiyuan/features_biomedclip_5x/2462170-B4.h5,True,True,,True,True,True,117,117,117,0,0,"[117,2]","[117,2]","[117,512]",int32,int64,float32,True,True,False,True,True,True,117,0,False
2462170-B4,20x,data/yiyuan/patches_coords_20x/patches_256/2462170-B4.h5,data/yiyuan/features_biomedclip_20x/2462170-B4.h5,True,True,,True,True,True,1562,1562,1562,0,0,"[1562,2]","[1562,2]","[1562,512]",int32,int64,float32,True,True,False,True,True,True,1561,0,False
2462290-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462290-B2.h5,data/yiyuan/features_biomedclip_5x/2462290-B2.h5,True,True,,True,True,True,286,286,286,0,0,"[286,2]","[286,2]","[286,512]",int32,int64,float32,True,True,False,True,True,True,286,0,False
2462290-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462290-B2.h5,data/yiyuan/features_biomedclip_20x/2462290-B2.h5,True,True,,True,True,True,4236,4236,4236,0,0,"[4236,2]","[4236,2]","[4236,512]",int32,int64,float32,True,True,False,True,True,True,4235,0,False
2462293-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2462293-B3.h5,data/yiyuan/features_biomedclip_5x/2462293-B3.h5,True,True,,True,True,True,127,127,127,0,0,"[127,2]","[127,2]","[127,512]",int32,int64,float32,True,True,False,True,True,True,127,0,False
2462293-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2462293-B3.h5,data/yiyuan/features_biomedclip_20x/2462293-B3.h5,True,True,,True,True,True,1781,1781,1781,0,0,"[1781,2]","[1781,2]","[1781,512]",int32,int64,float32,True,True,False,True,True,True,1780,0,False
2462478-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462478-B2.h5,data/yiyuan/features_biomedclip_5x/2462478-B2.h5,True,True,,True,True,True,152,152,152,0,0,"[152,2]","[152,2]","[152,512]",int32,int64,float32,True,True,False,True,True,True,151,0,False
2462478-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462478-B2.h5,data/yiyuan/features_biomedclip_20x/2462478-B2.h5,True,True,,True,True,True,2029,2029,2029,0,0,"[2029,2]","[2029,2]","[2029,512]",int32,int64,float32,True,True,False,True,True,True,2028,0,False
2462483-B,5x,data/yiyuan/patches_coords_5x/patches_256/2462483-B.h5,data/yiyuan/features_biomedclip_5x/2462483-B.h5,True,True,,True,True,True,85,85,85,0,0,"[85,2]","[85,2]","[85,512]",int32,int64,float32,True,True,False,True,True,True,85,0,False
2462483-B,20x,data/yiyuan/patches_coords_20x/patches_256/2462483-B.h5,data/yiyuan/features_biomedclip_20x/2462483-B.h5,True,True,,True,True,True,1108,1108,1108,0,0,"[1108,2]","[1108,2]","[1108,512]",int32,int64,float32,True,True,False,True,True,True,1108,0,False
2462598-B,5x,data/yiyuan/patches_coords_5x/patches_256/2462598-B.h5,data/yiyuan/features_biomedclip_5x/2462598-B.h5,True,True,,True,True,True,195,195,195,0,0,"[195,2]","[195,2]","[195,512]",int32,int64,float32,True,True,False,True,True,True,195,0,False
2462598-B,20x,data/yiyuan/patches_coords_20x/patches_256/2462598-B.h5,data/yiyuan/features_biomedclip_20x/2462598-B.h5,True,True,,True,True,True,2744,2744,2744,0,0,"[2744,2]","[2744,2]","[2744,512]",int32,int64,float32,True,True,False,True,True,True,2744,0,False
2462614-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2462614-B3.h5,data/yiyuan/features_biomedclip_5x/2462614-B3.h5,True,True,,True,True,True,225,225,225,0,0,"[225,2]","[225,2]","[225,512]",int32,int64,float32,True,True,False,True,True,True,225,0,False
2462614-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2462614-B3.h5,data/yiyuan/features_biomedclip_20x/2462614-B3.h5,True,True,,True,True,True,3283,3283,3283,0,0,"[3283,2]","[3283,2]","[3283,512]",int32,int64,float32,True,True,False,True,True,True,3283,0,False
2462637-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462637-B2.h5,data/yiyuan/features_biomedclip_5x/2462637-B2.h5,True,True,,True,True,True,277,277,277,0,0,"[277,2]","[277,2]","[277,512]",int32,int64,float32,True,True,False,True,True,True,277,0,False
2462637-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462637-B2.h5,data/yiyuan/features_biomedclip_20x/2462637-B2.h5,True,True,,True,True,True,3864,3864,3864,0,0,"[3864,2]","[3864,2]","[3864,512]",int32,int64,float32,True,True,False,True,True,True,3863,0,False
2462830-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462830-B2.h5,data/yiyuan/features_biomedclip_5x/2462830-B2.h5,True,True,,True,True,True,103,103,103,0,0,"[103,2]","[103,2]","[103,512]",int32,int64,float32,True,True,False,True,True,True,103,0,False
2462830-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462830-B2.h5,data/yiyuan/features_biomedclip_20x/2462830-B2.h5,True,True,,True,True,True,1417,1417,1417,0,0,"[1417,2]","[1417,2]","[1417,512]",int32,int64,float32,True,True,False,True,True,True,1417,0,False
2462830-B4,5x,data/yiyuan/patches_coords_5x/patches_256/2462830-B4.h5,data/yiyuan/features_biomedclip_5x/2462830-B4.h5,True,True,,True,True,True,210,210,210,0,0,"[210,2]","[210,2]","[210,512]",int32,int64,float32,True,True,False,True,True,True,210,0,False
2462830-B4,20x,data/yiyuan/patches_coords_20x/patches_256/2462830-B4.h5,data/yiyuan/features_biomedclip_20x/2462830-B4.h5,True,True,,True,True,True,3080,3080,3080,0,0,"[3080,2]","[3080,2]","[3080,512]",int32,int64,float32,True,True,False,True,True,True,3079,0,False
2462840-B5,5x,data/yiyuan/patches_coords_5x/patches_256/2462840-B5.h5,data/yiyuan/features_biomedclip_5x/2462840-B5.h5,True,True,,True,True,True,286,286,286,0,0,"[286,2]","[286,2]","[286,512]",int32,int64,float32,True,True,False,True,True,True,286,0,False
2462840-B5,20x,data/yiyuan/patches_coords_20x/patches_256/2462840-B5.h5,data/yiyuan/features_biomedclip_20x/2462840-B5.h5,True,True,,True,True,True,4219,4219,4219,0,0,"[4219,2]","[4219,2]","[4219,512]",int32,int64,float32,True,True,False,True,True,True,4219,0,False
2462885-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462885-B2.h5,data/yiyuan/features_biomedclip_5x/2462885-B2.h5,True,True,,True,True,True,272,272,272,0,0,"[272,2]","[272,2]","[272,512]",int32,int64,float32,True,True,False,True,True,True,272,0,False
2462885-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462885-B2.h5,data/yiyuan/features_biomedclip_20x/2462885-B2.h5,True,True,,True,True,True,3661,3661,3661,0,0,"[3661,2]","[3661,2]","[3661,512]",int32,int64,float32,True,True,False,True,True,True,3660,0,False
2462920-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2462920-B3.h5,data/yiyuan/features_biomedclip_5x/2462920-B3.h5,True,True,,True,True,True,273,273,273,0,0,"[273,2]","[273,2]","[273,512]",int32,int64,float32,True,True,False,True,True,True,273,0,False
2462920-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2462920-B3.h5,data/yiyuan/features_biomedclip_20x/2462920-B3.h5,True,True,,True,True,True,3827,3827,3827,0,0,"[3827,2]","[3827,2]","[3827,512]",int32,int64,float32,True,True,False,True,True,True,3826,0,False
2462921-B,5x,data/yiyuan/patches_coords_5x/patches_256/2462921-B.h5,data/yiyuan/features_biomedclip_5x/2462921-B.h5,True,True,,True,True,True,311,311,311,0,0,"[311,2]","[311,2]","[311,512]",int32,int64,float32,True,True,False,True,True,True,311,0,False
2462921-B,20x,data/yiyuan/patches_coords_20x/patches_256/2462921-B.h5,data/yiyuan/features_biomedclip_20x/2462921-B.h5,True,True,,True,True,True,4466,4466,4466,0,0,"[4466,2]","[4466,2]","[4466,512]",int32,int64,float32,True,True,False,True,True,True,4465,0,False
2462987-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2462987-B2.h5,data/yiyuan/features_biomedclip_5x/2462987-B2.h5,True,True,,True,True,True,139,139,139,0,0,"[139,2]","[139,2]","[139,512]",int32,int64,float32,True,True,False,True,True,True,139,0,False
2462987-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2462987-B2.h5,data/yiyuan/features_biomedclip_20x/2462987-B2.h5,True,True,,True,True,True,2010,2010,2010,0,0,"[2010,2]","[2010,2]","[2010,512]",int32,int64,float32,True,True,False,True,True,True,2009,0,False
2463126-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463126-B2.h5,data/yiyuan/features_biomedclip_5x/2463126-B2.h5,True,True,,True,True,True,144,144,144,0,0,"[144,2]","[144,2]","[144,512]",int32,int64,float32,True,True,False,True,True,True,79,0,False
2463126-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2463126-B2.h5,data/yiyuan/features_biomedclip_20x/2463126-B2.h5,True,True,,True,True,True,2101,2101,2101,0,0,"[2101,2]","[2101,2]","[2101,512]",int32,int64,float32,True,True,False,True,True,True,2100,0,False
2463127-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2463127-B3.h5,data/yiyuan/features_biomedclip_5x/2463127-B3.h5,True,True,,True,True,True,261,261,261,0,0,"[261,2]","[261,2]","[261,512]",int32,int64,float32,True,True,False,True,True,True,261,0,False
2463127-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2463127-B3.h5,data/yiyuan/features_biomedclip_20x/2463127-B3.h5,True,True,,True,True,True,3791,3791,3791,0,0,"[3791,2]","[3791,2]","[3791,512]",int32,int64,float32,True,True,False,True,True,True,3790,0,False
2463135-B,5x,data/yiyuan/patches_coords_5x/patches_256/2463135-B.h5,data/yiyuan/features_biomedclip_5x/2463135-B.h5,True,True,,True,True,True,307,307,307,0,0,"[307,2]","[307,2]","[307,512]",int32,int64,float32,True,True,False,True,True,True,307,0,False
2463135-B,20x,data/yiyuan/patches_coords_20x/patches_256/2463135-B.h5,data/yiyuan/features_biomedclip_20x/2463135-B.h5,True,True,,True,True,True,4547,4547,4547,0,0,"[4547,2]","[4547,2]","[4547,512]",int32,int64,float32,True,True,False,True,True,True,4546,0,False
2463187-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2463187-B2.h5,data/yiyuan/features_biomedclip_5x/2463187-B2.h5,True,True,,True,True,True,110,110,110,0,0,"[110,2]","[110,2]","[110,512]",int32,int64,float32,True,True,False,True,True,True,30,9,False
